Key,How many beans would you like to assign to LAB – TBC2 – TBC3 – TBC1?,How many beans would you like to assign to TBC2 – LAB – TBC1 – TBC3?,How many beans would you like to assign to TBC3 – TBC1 – LAB – TBC2?,How many beans would you like to assign to TBC1 – TBC3 – TBC2 – LAB?
1,0,0,12,12
2,0,0,0,24
3,0,0,0,24
4,0,0,24,0
5,0,0,24,0
6,0,3,6,15
7,0,12,12,0
8,0,0,24,0
9,0,0,24,0
10,0,1,12,11
11,1,2,14,7
12,0,0,0,24
13,0,10,14,0
14,0,24,0,0
15,0,0,24,0
16,0,0,0,24
17,0,8,4,12
18,0,24,0,0
19,0,1,0,23
20,0,0,24,0
21,0,24,0,0
22,0,24,0,0
23,0,0,24,0
24,0,0,24,0
25,0,0,24,0
26,0,6,18,0
27,24,0,0,0
28,0,0,0,24
29,0,0,20,4
30,0,24,0,0
31,0,0,0,24
32,0,0,0,24
33,0,23,1,0
34,0,0,12,12
35,0,0,0,24
36,0,0,24,0
37,1,6,17,0
38,0,0,0,24
39,0,0,0,24
40,0,24,0,0
41,0,8,15,1
42,0,0,0,24
43,0,0,24,0
44,0,0,0,24
45,0,0,24,0
46,1,15,1,7
47,0,0,24,0
48,0,24,0,0
49,0,0,24,0
50,0,24,0,0
51,0,8,8,8
52,0,0,24,0
53,0,0,24,0
54,0,6,16,2
55,0,0,24,0
56,0,0,24,0
57,0,24,0,0
58,0,24,0,0
59,0,24,0,0
60,0,0,24,0
61,0,0,23,1
62,0,24,0,0
63,0,0,0,24
64,0,0,0,24
65,0,0,24,0
66,0,0,24,0
67,0,22,1,1
68,0,0,24,0
69,0,0,24,0
70,0,0,0,24
71,0,0,24,0
72,0,0,12,12
73,0,24,0,0
74,0,0,24,0
75,0,21,2,1
76,0,0,24,0
77,0,11,12,1